1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
13124,Schouten Holdings Inc,"575 Clarke Rd, Unit 4",London,Ontario,N5V 2E1,519-453-0982,2019-06-27,,,2023-11-02 18:15:40,'2023-11-02 18:15:40'),investment,investment,0,1,0,0,0,0,0,0,0
13130,Clink Holdings Inc,35 Springbank Ave,Toronto,Ontario,M1N 1G2,416-690-6015,2019-06-25,,,2023-11-02 18:15:40,'2023-11-02 18:15:40'),investment,investment,0,1,0,0,0,0,0,0,0
13131,Qcar Holdings Inc,"311 Bay St, Ste 4105",Toronto,Ontario,M5H 4G5,647-349-4784,2019-06-25,condonow.com,,2023-12-09 15:38:36,'2023-11-02 18:15:40'),investment,investment,0,1,0,0,0,0,0,0,0
13136,JNN Holdings Mississauga Inc,115 Belfield Rd,Toronto,Ontario,M9W 1G7,416-614-9004,2019-06-20,,,2023-11-02 18:15:40,'2023-11-02 18:15:40'),investment,investment,0,1,0,0,0,0,0,0,0
13156,Heritage Holdings Group Inc,157 Orr Ave,Woodbridge,Ontario,L4L 9K2,905-605-0532,2019-06-06,,,2023-11-02 18:15:41,'2023-11-02 18:15:41'),investment,investment,0,1,0,0,0,0,0,0,0
13164,Emaar Holding Inc,"2980 Drew Rd, Ste 215",Mississauga,Ontario,L4T 0A7,,2019-05-31,emaar.com,,2023-12-02 13:43:58,'2023-11-02 18:15:42'),investment,investment,0,1,0,0,0,0,0,0,0
13165,Pogos Investments Ltd,"100 Upper Madison Ave, Ste 2502",Toronto,Ontario,M2N 6M4,416-730-0302,2019-05-31,,,2023-11-02 18:15:42,'2023-11-02 18:15:42'),investment,investment,0,1,0,0,0,0,0,0,0
13175,Brisebois Investments Ltd,2018 Valleystream Dr,Sudbury,Ontario,P3A 6A9,705-560-2052,2019-05-31,,,2023-11-02 18:15:42,'2023-11-02 18:15:42'),investment,investment,0,1,0,0,0,0,0,0,0
13176,Kortas Holdings Ltd,86 Carriage Hill Dr,London,Ontario,N5X 3W9,519-858-2739,2019-05-31,,,2023-11-02 18:15:42,'2023-11-02 18:15:42'),investment,investment,0,1,0,0,0,0,0,0,0
13177,GCKM Holdings Inc,4 Alameda St,Brampton,Ontario,L6Y 2Y6,905-230-2716,2019-05-31,,,2023-11-02 18:15:42,'2023-11-02 18:15:42'),investment,investment,0,1,0,0,0,0,0,0,0
13180,Badre Investment Holdings Inc,"1296 Carling Ave, Ste 101",Ottawa,Ontario,K1Z 7K8,613-695-4443,2019-05-31,,,2023-11-02 18:15:42,'2023-11-02 18:15:42'),investment,investment,0,1,0,0,0,0,0,0,0
13195,Credvalley Holdings Inc,"800 Arrow Rd, Unit 10",North York,Ontario,M9M 2Z8,416-747-1400,2019-05-30,,,2023-11-02 18:15:43,'2023-11-02 18:15:43'),investment,investment,0,1,0,0,0,0,0,0,0
13200,M &amp; A Knapp Holdings Inc,38 Forest Hill Dr,Cobourg,Ontario,K9A 4J9,,2019-05-27,,,2023-11-02 18:15:43,'2023-11-02 18:15:43'),investment,investment,0,1,0,0,0,0,0,0,0
13210,Glengate Holdings Inc,"6700 Century Ave, Ste 204",Mississauga,Ontario,L5N 6A4,905-854-4275,2019-05-16,,,2023-11-02 18:15:43,'2023-11-02 18:15:43'),investment,investment,0,1,0,0,0,0,0,0,0
13218,Stack Investments Ltd,"5015 Maingate Dr, Unit 1A",Mississauga,Ontario,L4W 1G4,,2019-05-15,,,2023-11-02 18:15:43,'2023-11-02 18:15:43'),investment,investment,0,1,0,0,0,0,0,0,0
13226,Piller Investments Ltd,"234 Eglinton Ave E, Ste 418",Toronto,Ontario,M4P 1K5,416-482-5388,2019-05-13,,,2023-11-02 18:15:44,'2023-11-02 18:15:44'),investment,investment,0,1,0,0,0,0,0,0,0
13228,San Martino Investments Ltd,267 Metcalfe St,Guelph,Ontario,N1E 4Y8,519-824-9468,2019-05-13,,,2023-11-02 18:15:44,'2023-11-02 18:15:44'),investment,investment,0,1,0,0,0,0,0,0,0
13236,First Capital (Gloucester) Corp,"85 Hanna Ave, Ste 400",Toronto,Ontario,M6X 3S3,416-504-4114,2019-05-09,,,2023-11-02 18:15:44,'2023-11-02 18:15:44'),investment,investment,0,1,0,0,0,0,0,0,0
13246,Amalfi Investments Ltd,100 King St W,Toronto,Ontario,M5X 1C9,,2019-05-01,,,2023-11-02 18:15:44,'2023-11-02 18:15:44'),investment,investment,0,1,0,0,0,0,0,0,0
13247,Panich Holdings Corp,220 Elizabeth St E,Listowel,Ontario,N4W 2P4,519-497-9532,2019-05-01,,,2023-11-02 18:15:44,'2023-11-02 18:15:44'),investment,investment,0,1,0,0,0,0,0,0,0
13248,Lemberg Investments Ltd,1484 Hurontario St,Mississauga,Ontario,L5G 3H6,,2019-12-20,,,2023-11-02 18:15:45,'2023-11-02 18:15:45'),investment,investment,0,1,0,0,0,0,0,0,0
13255,Torbill Holdings Ltd,605 Stanford St,Kingston,Ontario,K7M 6A2,613-389-0840,2019-12-17,,,2023-11-02 18:15:45,'2023-11-02 18:15:45'),investment,investment,0,1,0,0,0,0,0,0,0
13257,Summer-Time Holdings ES Ltd,6240 Sixth Line,Belwood,Ontario,N0B 1J0,,2019-12-17,,,2023-11-02 18:15:45,'2023-11-02 18:15:45'),investment,investment,0,1,0,0,0,0,0,0,0
13261,Masar Investment Group and 5 others,"791 Princess St, Ste 201",,,K7L 1E9,,2019-12-12,,,2023-11-02 18:15:45,'2023-11-02 18:15:45'),investment,investment,0,1,0,0,0,0,0,0,0
